constituency,water_per,sno_x,winner,party,sno_y,state,population,growth,sr,literacy,values
azamgarh,0.478841695331323,447,ramakant yadav,bjp,30,uttar pradesh,"4,613,913",17.11 %,1019,70.93,0
mayurbhanj,0.1639229606839468,282,laxman tudu,bjd,171,orissa,"2,519,738",13.33 %,1006,63.17,1
pathanamthitta,0.797017201720172,191,anto antony punnathaniyil,inc,398,kerala,"1,197,412",-2.97 %,1132,96.55,1
jodhpur,0.3916926543862057,327,chandresh kumari,inc,72,rajasthan,"3,687,165",27.74 %,916,65.94,1
sidhi,0.1667645110158759,205,govind prasad mishra,bjp,411,madhya pradesh,"1,127,033",23.72 %,957,64.43,0
malappuram,0.811785513720073,180,e. ahamed,mul,50,kerala,"4,112,920",13.45 %,1098,93.57,0
nalanda,0.459027090917299,87,kaushalendra kumar,jd(u),134,bihar,"2,877,653",21.39 %,922,64.43,2
deoria,0.5811297517373308,444,gorakh prasad jaiswal,bsp,113,uttar pradesh,"3,100,946",14.31 %,1017,71.13,1
bhilwara,0.2731884513074431,334,dr. c. p. joshi,inc,184,rajasthan,"2,408,523",19.60 %,973,61.37,1
dhenkanal,0.1957754068326328,286,tathagata satpathy,bjd,400,orissa,"1,192,811",11.80 %,947,78.76,1
lakshadweep,0.8367747360553116,542,hamdullah sayeed,inc,627,lakshadweep,"64,473",6.30 %,946,91.85,1
sitamarhi,0.3434958933708734,63,arjun roy,jd(u),96,bihar,"3,423,574",27.62 %,899,52.05,2
cuddalore,0.3336941617954824,363,alagiri s,inc,157,tamil nadu,"2,605,914",14.02 %,987,78.04,1
east delhi,0.9080971260070264,537,sandeep dikshit,inc,284,delhi,"1,709,346",16.79 %,884,89.31,1
adilabad,0.3524034552065913,32,rathod ramesh,tdp,143,andhra pradesh,"2,741,239",10.18 %,1001,61.01,2
dumka,0.0853531189887331,513,shibu soren,jmm,371,jharkhand,"1,321,442",19.42 %,977,61.02,1
damoh,0.1202065655978612,201,shivraj bhaiya,bjp,382,madhya pradesh,"1,264,219",16.63 %,910,69.73,0
agra,0.456506742391579,396,dr. ramshankar,bjp,41,uttar pradesh,"4,418,797",22.05 %,868,71.58,0
katihar,0.509495788922687,69,nikhil kumar choudhary,bjp,117,bihar,"3,071,029",28.35 %,919,52.24,0
betul,0.2088854509988565,223,jyoti dhurve,bjp,318,madhya pradesh,"1,575,362",12.92 %,971,68.9,0
vidisha,0.2696129030088864,212,sushma swaraj,bjp,339,madhya pradesh,"1,458,875",20.09 %,896,70.53,0
bargarh,0.099402503006232,278,sanjay bhoi,inc,338,orissa,"1,481,255",10.02 %,977,74.62,1
parbhani,0.4370602966245218,240,adv. dudhgaonkar ganeshrao,shs,259,maharashtra,"1,836,086",20.19 %,947,73.34,0
morena,0.2008506551037926,195,narendra singh tomar,bjp,236,madhya pradesh,"1,965,970",23.44 %,840,71.03,0
shimla,0.5646180229020302,140,virender kashyap,bjp,483,himachal pradesh,"814,010",12.67 %,915,83.64,0
bijnor,0.7043564967366828,382,sanjay singh chauhan,rld,73,uttar pradesh,"3,682,713",17.60 %,917,68.48,1
erode,0.355513758208928,354,ganeshamurthi.a.,mdmk,200,tamil nadu,"2,251,744",11.66 %,993,72.58,1
mirzapur,0.2508526965168019,457,bal kumar patel,sp,173,uttar pradesh,"2,496,970",18.00 %,903,68.48,2
indore,0.490993509216133,220,sumitra mahajan (tai),bjp,105,madhya pradesh,"3,276,697",32.88 %,928,80.87,0
banka,0.2868086091791597,85,digvijay singh,ind,227,bihar,"2,034,763",26.48 %,907,58.17,1
ganganagar,0.6331280073393122,312,bharat ram meghwal,inc,235,rajasthan,"1,969,168",10.04 %,887,69.64,1
kachchh,0.7038499328853024,101,jat poonamben veljibhai,bjp,219,gujarat,"2,092,371",32.16 %,908,70.59,0
sagar,0.2111238723483621,199,bhupendra singh,bjp,188,madhya pradesh,"2,378,458",17.63 %,893,76.46,0
jalpaiguri,0.5551990304167281,461,mahendra kumar roy,cpm,66,west bengal,"3,872,846",13.87 %,953,73.25,2
faridabad,0.7185285470705194,136,avtar singh bhadana,inc,263,haryana,"1,809,733",32.54 %,873,81.7,1
hingoli,0.3679908034231702,238,subhash bapurao wankhede,shs,403,maharashtra,"1,177,345",19.27 %,942,78.17,0
bhind,0.1719663644654256,196,ashok argal,bjp,288,madhya pradesh,"1,703,005",19.21 %,837,75.26,0
dibrugarh,0.675853023180834,57,paban singh ghatowar,inc,368,assam,"1,326,335",11.92 %,961,76.05,1
kangra,0.5963133941921541,137,dr. rajan sushant,bjp,331,himachal pradesh,"1,510,075",12.77 %,1012,85.67,0
faridkot,0.8064352372813957,307,paramjit kaur gulshan,sad,519,punjab,"617,508",12.09 %,890,69.55,0
thiruvananthapuram,0.8422754574829809,194,shashi tharoor,inc,103,kerala,"3,301,427",2.07 %,1087,93.02,1
dindigul,0.2500674749454873,359,chitthan n s v,inc,212,tamil nadu,"2,159,775",12.31 %,998,76.26,1
khunti,0.0877413447113605,522,karia munda,bjp,541,jharkhand,"531,885",22.32 %,997,63.86,0
pali,0.3499715612412352,326,badri ram jakhar,inc,225,rajasthan,"2,037,573",11.94 %,987,62.39,1
warangal,0.5197495253518923,4,rajaiah siricilla,inc,83,andhra pradesh,"3,512,576",8.21 %,997,65.11,1
solapur,0.4982124168054939,265,shinde sushilkumar sambhajirao,inc,43,maharashtra,"4,317,756",12.16 %,938,77.02,1
bagalkot,0.2883895131086142,149,gaddigoudar p.c.,bjp,249,karnataka,"1,889,752",14.40 %,989,68.82,0
nagaur,0.28464005781406,325,dr. jyoti mirdha,inc,102,rajasthan,"3,307,743",19.20 %,950,62.8,1
ghazipur,0.4076474252373033,453,radhey mohan singh,sp,79,uttar pradesh,"3,620,268",19.18 %,952,71.78,2
dharwad,0.5728657667972928,157,pralhad joshi,bjp,256,karnataka,"1,847,023",15.13 %,971,80.0,0
fatehpur,0.1872348162132336,427,rakesh sachan,sp,155,uttar pradesh,"2,632,733",14.05 %,901,67.43,2
sultanpur,0.3620416451009277,416,dr.sanjay singh,inc,68,uttar pradesh,"3,797,117",18.11 %,983,69.27,1
kheri,0.6097564067174058,406,zafar ali naqvi,inc,56,uttar pradesh,"4,021,243",25.38 %,894,60.56,1
dhule,0.6019745534621972,225,sonawane pratap narayanrao,bjp,223,maharashtra,"2,050,862",20.08 %,946,72.8,0
murshidabad,0.4202915438455412,469,abdul mannan hossain,inc,9,west bengal,"7,103,807",21.09 %,958,66.59,1
mahasamund,0.114185353834638,509,chandulal sahu (chandu bhaiya),bjp,438,chhattisgarh,"1,032,754",20.05 %,1017,71.02,0
kolhapur,0.7449831585072363,270,sadashivrao dadoba mandlik,ind,65,maharashtra,"3,876,001",10.01 %,957,81.51,1
thane,0.719247713336866,248,dr.sanjeev ganesh naik,ncp,1,maharashtra,"11,060,148",36.01 %,886,84.53,1
kollam,0.8571921794245533,192,n.peethambarakurup,inc,153,kerala,"2,635,375",1.94 %,1113,94.09,1
mandi,0.5593879833086357,138,virbhadra singh,inc,446,himachal pradesh,"999,777",10.92 %,1007,81.53,1
sundargarh,0.2495621105742109,279,hemanand biswal,inc,217,orissa,"2,093,437",14.35 %,973,73.34,1
mainpuri,0.4131831970795414,399,mulayam singh yadav,sp,254,uttar pradesh,"1,868,529",17.02 %,881,75.99,2
pratapgarh,0.2906669861152186,417,rajkumari ratna singh,inc,109,uttar pradesh,"3,209,141",17.50 %,998,70.09,1
pratapgarh,0.2906669861152186,417,rajkumari ratna singh,inc,472,rajasthan,"867,848",22.78 %,983,55.97,1
meerut,0.8267096853598713,388,rajendra agarwal,bjp,94,uttar pradesh,"3,443,689",14.89 %,886,72.84,0
nalgonda,0.3969171791755385,2,gutha sukender reddy,inc,88,andhra pradesh,"3,488,809",7.41 %,983,64.2,1
dindori,0.0594678075018195,243,chavan harishchandra deoram,bjp,501,madhya pradesh,"704,524",21.32 %,1002,63.9,0
anand,0.6642062533359553,116,solanki bharatbhai madhavsinh,inc,218,gujarat,"2,092,745",12.70 %,925,84.37,1
hardoi,0.509414847309449,409,usha verma,sp,51,uttar pradesh,"4,092,845",20.44 %,868,64.57,2
tumkur,0.2573562918569314,165,g.s. basavaraj,bjp,150,karnataka,"2,678,980",3.65 %,984,75.14,0
karimnagar,0.645788532932819,34,ponnam prabhakar,inc,69,andhra pradesh,"3,776,269",8.15 %,1008,64.15,1
udhampur,0.2307026356854278,145,ch. lal singh,inc,538,jammu and kashmir,"554,985",20.78 %,870,68.49,1
kendrapara,0.175076739817657,292,baijayant panda,bjd,344,orissa,"1,440,361",10.63 %,1007,85.15,1
rewa,0.2208437505204738,204,deoraj singh patel,bsp,190,madhya pradesh,"2,365,106",19.86 %,931,71.62,1
rae bareli,0.2814359171355882,414,sonia gandhi,inc,97,uttar pradesh,"3,405,559",18.56 %,943,67.25,1
thiruvallur,0.3661205212489694,338,venugopal.p,admk,70,tamil nadu,"3,728,104",35.33 %,987,84.03,2
kozhikode,0.7929908967937703,179,m.k. raghavan,inc,114,kerala,"3,086,293",7.20 %,1098,95.08,1
churu,0.4405284568059398,314,ram singh kaswan,bjp,224,rajasthan,"2,039,547",6.01 %,940,66.75,0
chamarajanagar,0.3156741660455859,168,r.dhruvanarayana,inc,441,karnataka,"1,020,791",5.73 %,993,61.43,1
anantnag,0.4983599907683915,143,mirza mehboob beg,jkn,422,jammu and kashmir,"1,078,692",38.58 %,927,62.69,1
shrawasti,0.5187410079666731,436,vinay kumar alias vinnu,inc,414,uttar pradesh,"1,117,361",-5.02 %,881,46.74,1
gulbarga,0.3140796784489892,151,mallikarjun kharge,inc,162,karnataka,"2,566,326",18.01 %,971,64.85,1
wayanad,0.602190903059821,178,m.i. shanavas,inc,481,kerala,"817,420",4.71 %,1035,89.03,1
bishnupur,0.0769419259985297,495,susmita bauri,cpm,585,manipur,"237,399",13.93 %,999,75.85,2
shahjahanpur,0.7113089322482975,405,mithlesh,sp,123,uttar pradesh,"3,006,538",18.00 %,872,59.54,2
osmanabad,0.4259232710173184,263,patil padamsinha bajirao,ncp,298,maharashtra,"1,657,576",11.50 %,924,78.44,1
new delhi,0.789501398716472,538,ajay makan,inc,603,delhi,"142,004",-20.72 %,822,88.34,1
bhadrak,0.3516268370772178,284,arjun charan sethi,bjd,333,orissa,"1,506,337",12.94 %,981,82.78,1
sirsa,0.818276808052719,129,ashok tanwar,inc,378,haryana,"1,295,189",15.99 %,897,68.82,1
alwar,0.3439410538500556,319,jitendra singh,inc,76,rajasthan,"3,674,179",22.78 %,895,70.72,1
birbhum,0.1729913377632682,500,satabdi roy,aitc,84,west bengal,"3,502,404",16.15 %,956,70.68,2
saran,0.594689142988927,78,lalu prasad,rjd,59,bihar,"3,951,862",21.64 %,954,65.96,1
bahraich,0.5487097977411799,434,kamal kishor,inc,89,uttar pradesh,"3,487,731",46.48 %,892,49.36,1
madurai,0.3741225833052401,369,alagiri m.k,dmk,119,tamil nadu,"3,038,252",17.84 %,990,83.45,1
purnia,0.4910560578605397,70,uday singh alias pappu singh,bjp,106,bihar,"3,264,619",28.33 %,921,51.08,0
sabarkantha,0.5250712125676859,105,chauhan mahendrasinh,bjp,183,gujarat,"2,428,589",16.62 %,952,75.79,0
rajgarh,0.1047570850202429,214,narayansingh amlabe,inc,322,madhya pradesh,"1,545,814",23.26 %,956,61.21,1
darbhanga,0.4287875440873879,72,kirti azad,bjp,61,bihar,"3,937,385",19.47 %,911,56.56,0
kheda,0.5054637832317034,117,dinsha patel,inc,196,gujarat,"2,299,885",13.62 %,940,82.65,1
karimganj,0.178699842667454,45,lalit mohan suklabaidya,inc,389,assam,"1,228,686",21.90 %,963,78.22,1
raipur,0.2411310618105211,508,ramesh bais,bjp,53,chhattisgarh,"4,063,872",34.70 %,984,75.56,0
supaul,0.6209154181903975,66,vishwa mohan kumar,jd(u),203,bihar,"2,229,076",28.66 %,929,57.67,2
ernakulam,0.8028802493757397,186,prof. k v thomas,inc,104,kerala,"3,282,388",5.69 %,1027,95.89,1
mandya,0.3767517312191439,166,n cheluvaraya swamy @,jd(s),264,karnataka,"1,805,769",2.38 %,995,70.4,1
banda,0.2087396239042936,426,r. k. singh patel,sp,266,uttar pradesh,"1,799,410",17.05 %,863,66.67,2
tiruppur,0.4651579977907996,355,sivasami c,admk,175,tamil nadu,"2,479,052",29.11 %,989,78.68,2
gurgaon,0.8024120358530697,135,inderjit singh,inc,328,haryana,"1,514,432",73.96 %,854,84.7,1
banswara,0.1550460444900958,331,tarachand bhagora,inc,267,rajasthan,"1,797,485",26.53 %,980,56.33,1
wardha,0.5715012554513017,231,datta meghe,inc,377,maharashtra,"1,300,774",5.18 %,946,86.99,1
kanniyakumari,0.3875216935370124,376,helen davidson j,dmk,253,tamil nadu,"1,870,374",11.60 %,1019,91.75,1
baghpat,0.4670191704090009,389,ajit singh,rld,376,uttar pradesh,"1,303,048",11.95 %,861,72.01,1
unnao,0.371443776200856,411,annutandon,inc,112,uttar pradesh,"3,108,367",15.11 %,907,66.37,1
nagpur,0.7135070214338507,233,muttemwar vilasrao baburaoji,inc,28,maharashtra,"4,653,570",14.40 %,951,88.39,1
vadodara,0.6442898192407635,120,balkrishna khanderao shukla,bjp,48,gujarat,"4,165,626",14.38 %,934,78.92,0
shahdol,0.3013509765538642,206,rajesh nandini singh,inc,426,madhya pradesh,"1,066,063",17.39 %,974,66.67,1
hyderabad,0.9238240659230956,40,asaduddin owaisi,aimim,60,andhra pradesh,"3,943,323",2.97 %,954,83.25,0
kota,0.5814519844665307,335,ijyaraj singh,inc,239,rajasthan,"1,951,014",24.39 %,911,76.56,1
north goa,0.8041991233213278,99,shripad yesso naik,bjp,480,goa,"818,008",7.84 %,963,89.57,0
sikar,0.4771029788226953,316,mahadev singh,inc,151,rajasthan,"2,677,333",17.03 %,947,71.91,1
rajsamand,0.2226255674503025,333,gopal singh,inc,405,rajasthan,"1,156,597",17.18 %,990,63.14,1
thanjavur,0.3469790471909221,367,palanimanickam.s.s,dmk,185,tamil nadu,"2,405,890",8.56 %,1035,82.64,1
surendranagar,0.5795604915624079,109,koli patel somabhai gandalal,inc,274,gujarat,"1,756,268",15.91 %,930,72.13,1
karnal,0.7911270738813078,131,arvind kumar sharma,inc,334,haryana,"1,505,324",18.14 %,887,74.73,1
gwalior,0.4815875292621209,197,yashodhara raje scindia,bjp,228,madhya pradesh,"2,032,036",24.50 %,864,76.65,0
srinagar,0.9386555826286368,142,farooq abdullah,jkn,388,jammu and kashmir,"1,236,829",20.35 %,900,69.41,1
gorakhpur,0.5615229965226946,442,adityanath,bjp,40,uttar pradesh,"4,440,895",17.81 %,950,70.83,0
hoshiarpur,0.8459632265070035,303,santosh chowdhary,inc,314,punjab,"1,586,625",7.11 %,961,84.59,1
shimoga,0.4501528078599688,160,b.y. raghavendra,bjp,275,karnataka,"1,752,753",6.71 %,998,80.45,0
nizamabad,0.4109504632380449,35,madhu yaskhi goud,inc,165,andhra pradesh,"2,551,335",8.77 %,1040,61.25,1
kaushambi,0.1217252245896241,428,shailendra kumar,sp,312,uttar pradesh,"1,599,596",23.70 %,908,61.28,2
varanasi,0.5135682956005494,455,dr. murli manohar joshi,bjp,75,uttar pradesh,"3,676,841",17.15 %,913,75.6,0
kandhamal,0.0984570126276133,290,rudramadhab ray,bjd,497,orissa,"733,110",13.10 %,1037,64.13,1
south goa,0.7884615384615384,100,cosme francisco caitano,inc,515,goa,"640,537",8.73 %,986,87.59,1
chitradurga,0.2452653306715084,164,janardhana swamy,bjp,297,karnataka,"1,659,456",9.33 %,974,73.71,0
kannur,0.8111242634050614,176,k. sudhakaran,inc,170,kerala,"2,523,003",4.73 %,1136,95.1,1
aurangabad,0.5731379999918543,95,sushil kumar singh,jd(u),71,maharashtra,"3,701,282",27.76 %,923,79.02,2
aurangabad,0.5731379999918543,95,sushil kumar singh,jd(u),169,bihar,"2,540,073",26.18 %,926,70.32,2
aurangabad,0.5731379999918543,242,chandrakant khaire,shs,71,maharashtra,"3,701,282",27.76 %,923,79.02,0
aurangabad,0.5731379999918543,242,chandrakant khaire,shs,169,bihar,"2,540,073",26.18 %,926,70.32,0
patiala,0.8485127439597501,311,preneet kaur,inc,247,punjab,"1,895,686",19.62 %,891,75.28,1
samastipur,0.4141480067689536,81,maheshwar hazari,jd(u),45,bihar,"4,261,566",25.53 %,911,61.86,2
sitapur,0.441793966450046,408,kaisar jahan,bsp,38,uttar pradesh,"4,483,992",23.88 %,888,61.12,1
south delhi,0.7613260805964004,541,ramesh kumar,inc,144,delhi,"2,731,929",20.51 %,862,86.57,1
chhindwara,0.2329164281038073,210,kamal nath,inc,220,madhya pradesh,"2,090,922",13.07 %,964,71.16,1
amritsar,0.9316993647759853,300,navjot singh sidhu,bjp,174,punjab,"2,490,656",15.47 %,889,76.27,0
nandurbar,0.3690910854350281,224,gavit manikrao hodlya,inc,303,maharashtra,"1,648,295",25.66 %,978,64.38,1
rajnandgaon,0.1717400605321121,506,madhusudan yadav,bjp,324,chhattisgarh,"1,537,133",19.79 %,1015,75.96,0
virudhunagar,0.2154084557108262,371,manicka tagore,inc,242,tamil nadu,"1,942,288",10.91 %,1007,80.15,1
tehri garhwal,0.3224714219365664,526,vijay bahuguna,inc,518,uttarakhand,"618,931",2.35 %,1077,76.36,1
hoshangabad,0.4309674456173137,211,uday pratap singh,inc,387,madhya pradesh,"1,241,350",14.49 %,914,75.29,1
navsari,0.535913874687262,125,c. r. patil,bjp,366,gujarat,"1,329,672",8.15 %,961,83.88,0
mysore,0.5953978809509284,167,adagur h vishwanath,inc,125,karnataka,"3,001,127",13.63 %,985,72.79,1
ahmadnagar,0.536144244289979,260,gandhi dilipkumar mansukhlal,bjp,33,maharashtra,"4,543,159",12.44 %,939,79.05,0
raichur,0.2409298235361234,152,pakkirappa.s.,bjp,244,karnataka,"1,928,812",15.51 %,1000,59.56,0
jalna,0.3856965443321068,241,danve raosaheb dadarao,bjp,237,maharashtra,"1,959,046",21.46 %,937,71.52,0
khagaria,0.4340114921834233,83,dinesh chandra yadav,jd(u),296,bihar,"1,666,886",30.19 %,886,57.92,2
saharanpur,0.6939773437287767,379,jagdish singh rana,bsp,91,uttar pradesh,"3,466,382",19.66 %,890,70.49,1
bilaspur,0.5293649708525474,505,dilip singh judev,bjp,152,chhattisgarh,"2,663,629",33.29 %,971,70.78,0
